2025-10-14 17:18:45 | SUCCESS | __main__ | Logging system initialized
2025-10-14 17:18:45 | INFO | __main__ | 🚀 AURA System Initializing...
2025-10-14 17:18:45 | INFO | __main__ | Autonomous Utility Recognition Assistant
2025-10-14 17:18:45 | INFO | __main__ | Real-time Safety Equipment Detection for Space Stations
2025-10-14 17:18:45 | INFO | __main__ | Initializing system components...
2025-10-14 17:18:45 | INFO | __main__ | 📊 Initializing detection engine...
2025-10-14 17:18:45 | INFO | src.detection_engine | AURA Detection Engine initialized
2025-10-14 17:18:45 | INFO | src.detection_engine | Loading model: yolov8n.pt
2025-10-14 17:18:45 | WARNING | src.detection_engine | CUDA not available. Using CPU for inference
2025-10-14 17:18:47 | SUCCESS | src.detection_engine | Detection engine initialized successfully
2025-10-14 17:18:47 | SUCCESS | __main__ | Detection engine ready
2025-10-14 17:18:47 | INFO | __main__ | 📷 Initializing camera interface...
2025-10-14 17:18:47 | INFO | src.camera_interface | Camera interface initialized for camera 0
2025-10-14 17:19:04 | INFO | src.camera_interface | Camera initialized: 1280x720 @ 30FPS
2025-10-14 17:19:04 | SUCCESS | src.camera_interface | Camera interface initialized successfully
2025-10-14 17:19:04 | SUCCESS | __main__ | Camera interface ready
2025-10-14 17:19:04 | INFO | __main__ | 🛰️ Initializing Falcon integration...
2025-10-14 17:19:04 | INFO | src.falcon_integration | Falcon API client initialized for http://localhost:8080/api/v1
2025-10-14 17:19:04 | ERROR | __main__ | ❌ Component initialization failed: 'AURAConfig' object has no attribute 'data_dir'
2025-10-14 17:19:04 | ERROR | __main__ | ❌ Failed to initialize AURA system
2025-10-14 17:19:50 | SUCCESS | __main__ | Logging system initialized
2025-10-14 17:19:50 | INFO | __main__ | 🚀 AURA System Initializing...
2025-10-14 17:19:50 | INFO | __main__ | Autonomous Utility Recognition Assistant
2025-10-14 17:19:50 | INFO | __main__ | Real-time Safety Equipment Detection for Space Stations
2025-10-14 17:19:50 | INFO | __main__ | Initializing system components...
2025-10-14 17:19:50 | INFO | __main__ | 📊 Initializing detection engine...
2025-10-14 17:19:50 | INFO | src.detection_engine | AURA Detection Engine initialized
2025-10-14 17:19:50 | INFO | src.detection_engine | Loading model: yolov8n.pt
2025-10-14 17:19:50 | WARNING | src.detection_engine | CUDA not available. Using CPU for inference
2025-10-14 17:19:51 | SUCCESS | src.detection_engine | Detection engine initialized successfully
2025-10-14 17:19:51 | SUCCESS | __main__ | Detection engine ready
2025-10-14 17:19:51 | INFO | __main__ | 📷 Initializing camera interface...
2025-10-14 17:19:51 | INFO | src.camera_interface | Camera interface initialized for camera 0
2025-10-14 17:20:09 | INFO | src.camera_interface | Camera initialized: 1280x720 @ 30FPS
2025-10-14 17:20:09 | SUCCESS | src.camera_interface | Camera interface initialized successfully
2025-10-14 17:20:09 | SUCCESS | __main__ | Camera interface ready
2025-10-14 17:20:09 | INFO | __main__ | Falcon integration disabled in configuration
2025-10-14 17:20:09 | SUCCESS | __main__ | ✅ All components initialized successfully
2025-10-14 17:20:09 | INFO | __main__ | 🚀 Starting AURA system...
2025-10-14 17:20:09 | INFO | src.camera_interface | Camera capture loop started
2025-10-14 17:20:09 | INFO | src.camera_interface | Processing loop started
2025-10-14 17:20:09 | INFO | src.camera_interface | Camera capture and processing started
2025-10-14 17:20:09 | SUCCESS | __main__ | Camera processing started
2025-10-14 17:20:09 | SUCCESS | __main__ | 🎯 AURA system is now ACTIVE and monitoring!
2025-10-14 17:20:09 | INFO | __main__ | ============================================================
2025-10-14 17:20:09 | INFO | __main__ | AURA SYSTEM STATUS
2025-10-14 17:20:09 | INFO | __main__ | ============================================================
2025-10-14 17:20:09 | INFO | __main__ | 🎯 Monitored Safety Equipment:
2025-10-14 17:20:09 | INFO | __main__ |   🔴 OxygenTank (CRITICAL)
2025-10-14 17:20:09 | INFO | __main__ |   🔴 NitrogenTank (CRITICAL)
2025-10-14 17:20:09 | INFO | __main__ |   🟡 FirstAidBox (HIGH)
2025-10-14 17:20:09 | INFO | __main__ |   🔴 FireAlarm (CRITICAL)
2025-10-14 17:20:09 | INFO | __main__ |   🟡 SafetySwitchPanel (HIGH)
2025-10-14 17:20:09 | INFO | __main__ |   🔴 EmergencyPhone (CRITICAL)
2025-10-14 17:20:09 | INFO | __main__ |   🔴 FireExtinguisher (CRITICAL)
2025-10-14 17:20:09 | INFO | __main__ | 
⚙️ Configuration:
